ym,ipc2009,factor_to_2001soles
200001,78.7458,1.040827
200002,79.1239,1.035854
200003,79.5521,1.030277
200004,79.9591,1.025033
200005,79.9725,1.024862
200006,80.0239,1.024203
200007,80.4371,1.018942
200008,80.8136,1.014195
200009,81.263,1.008587
200010,81.4521,1.006245
200011,81.504,1.005604
200012,81.6298,1.004055
200101,81.783,1.002174
200102,81.9837,0.999721
200103,82.4001,0.994669
200104,82.057,0.998827
200105,82.0769,0.998585
200106,82.0298,0.999159
200107,82.1715,0.997436
200108,81.9225,1.000467
200109,81.9739,0.999839
200110,82.0047,0.999465
200111,81.6005,1.004415
200112,81.5258,1.005335
200201,81.102,1.010589
200202,81.0701,1.010987
200203,81.5066,1.005573
200204,82.101,0.998292
200205,82.215,0.996908
200206,82.0281,0.999179
200207,82.0563,0.998836
200208,82.139,0.99783
200209,82.528,0.993127
200210,83.1205,0.986047
200211,82.7886,0.990001
200212,82.7616,0.990323
200301,82.9532,0.988037
200302,83.3421,0.983426
200303,84.2736,0.972555
200304,84.2308,0.97305
200305,84.2038,0.973362
200306,83.8054,0.977989
200307,83.6804,0.979451
200308,83.6916,0.979319
200309,84.1591,0.973879
200310,84.2004,0.973401
200311,84.3416,0.971772
200312,84.8172,0.966322
200401,85.2731,0.961157
200402,86.1992,0.95083
200403,86.5961,0.946472
200404,86.5764,0.946687
200405,86.8827,0.943349
200406,87.3726,0.93806
200407,87.5413,0.936252
200408,87.533,0.936342
200409,87.5476,0.936186
200410,87.5268,0.936408
200411,87.778,0.933728
200412,87.7698,0.933815
200501,87.8577,0.932881
200502,87.6515,0.935075
200503,88.2215,0.929034
200504,88.3263,0.927932
200505,88.4379,0.926761
200506,88.6711,0.924323
200507,88.7639,0.923357
200508,88.6044,0.925019
200509,88.5209,0.925892
200510,88.6491,0.924553
200511,88.7094,0.923924
200512,89.0813,0.920067
200601,89.5263,0.915493
200602,90.0172,0.910501
200603,90.4287,0.906358
200604,90.8899,0.901759
200605,90.4101,0.906545
200606,90.2902,0.907748
200607,90.1363,0.909298
200608,90.2619,0.908032
200609,90.2866,0.907784
200610,90.3262,0.907387
200611,90.0713,0.909954
200612,90.0946,0.909719
200701,90.1031,0.909634
200702,90.3369,0.907279
200703,90.652,0.904126
200704,90.8135,0.902517
200705,91.2602,0.8981
200706,91.6889,0.893901
200707,92.1249,0.88967
200708,92.251,0.888454
200709,92.816,0.883045
200710,93.1075,0.880281
200711,93.2109,0.879305
200712,93.6332,0.875339
200801,93.8411,0.873399
200802,94.6923,0.865549
200803,95.6788,0.856624
200804,95.8264,0.855305
200805,96.1804,0.852156
200806,96.9207,0.845648
200807,97.459,0.840977
200808,98.0345,0.83604
200809,98.5906,0.831325
200810,99.195,0.826259
200811,99.5016,0.823713
200812,99.86,0.820757
200901,99.9656,0.81989
200902,99.8909,0.820503
200903,100.2507,0.817558
200904,100.2698,0.817403
200905,100.2266,0.817754
200906,99.8863,0.820541
200907,100.0728,0.819012
200908,99.8652,0.820714
200909,99.7781,0.82143
200910,99.9005,0.820424
200911,99.7885,0.821345
200912,100.105,0.818748
201001,100.4012,0.816333
201002,100.725,0.813708
201003,101.0079,0.81143
201004,101.0335,0.811224
201005,101.2738,0.809299
201006,101.5278,0.807274
201007,101.8973,0.804347
201008,102.171,0.802193
201009,102.1383,0.802449
201010,101.9935,0.803588
201011,102.0016,0.803525
201012,102.1836,0.802093
201101,102.5826,0.798974
201102,102.9748,0.795931
201103,103.6981,0.790379
201104,104.4042,0.785033
201105,104.3795,0.785219
201106,104.483,0.784442
201107,105.3115,0.77827
201108,105.5914,0.776207
201109,105.9443,0.773622
201110,106.2778,0.771194
201111,106.7363,0.767881
201112,107.0255,0.765806
201201,106.917,0.766583
201202,107.2644,0.7641
201203,108.0861,0.758292
201204,108.6606,0.754282
201205,108.7033,0.753986
201206,108.6634,0.754263
201207,108.7616,0.753582
201208,109.3145,0.74977
201209,109.9078,0.745723
201210,109.7283,0.746943
201211,109.5774,0.747971
201212,109.861,0.746041
201301,109.9878,0.745181
201302,109.8919,0.745831
201303,110.8875,0.739134
201304,111.1674,0.737274
201305,111.3826,0.735849
201306,111.6742,0.733928
201307,112.2867,0.729924
201308,112.8963,0.725983
201309,113.0191,0.725194
201310,113.0623,0.724917
201311,112.8156,0.726502
201312,113.0027,0.725299
201401,113.3607,0.723009
201402,114.0418,0.71869
201403,114.6332,0.714983
201404,115.084,0.712182
201405,115.3429,0.710583
201406,115.5265,0.709454
201407,116.0271,0.706393
201408,115.9278,0.706999
201409,116.1138,0.705866
201410,116.5538,0.703201
201411,116.3796,0.704254
201412,116.6459,0.702646
201501,116.8446,0.701451
201502,117.1992,0.699329
201503,118.0953,0.694022
201504,118.5565,0.691322
201505,119.2256,0.687443
201506,119.6218,0.685166
201507,120.1611,0.682091
201508,120.6144,0.679527
201509,120.6476,0.67934
201510,120.8199,0.678372
201511,121.2356,0.676046
201512,121.7759,0.673046
201601,122.2296,0.670548
201602,122.4424,0.669382
201603,123.1747,0.665403
201604,123.1888,0.665327
201605,123.4469,0.663935
201606,123.6192,0.66301
201607,123.7202,0.662469
201608,124.1635,0.660104
201609,124.4198,0.658744
201610,124.9341,0.656032
201611,125.2965,0.654135
201612,125.7153,0.651956
201701,126.0143,0.650409
201702,126.4215,0.648314
201703,128.0707,0.639965
201704,127.7402,0.641621
201705,127.1995,0.644348
201706,126.997,0.645376
201707,127.2488,0.644099
201708,128.1042,0.639798
201709,128.084,0.639899
201710,127.483,0.642916
201711,127.2315,0.644186
201712,127.4311,0.643177
201801,127.5935,0.642359
201802,127.9127,0.640755
201803,128.5358,0.637649
201804,128.3596,0.638525
201805,128.3833,0.638407
201806,128.8122,0.636281
201807,129.3053,0.633855
201808,129.4756,0.633021
201809,129.7238,0.63181
201810,129.8298,0.631294
201811,129.9887,0.630522
201812,130.225,0.629378
201901,130.3101,0.628967
201902,130.4753,0.628171
201903,131.4246,0.623634
201904,131.6875,0.622388
201905,131.8819,0.621471
201906,131.7681,0.622008
201907,132.0361,0.620745
201908,132.1166,0.620367
201909,132.125,0.620327
201910,132.2713,0.619641
201911,132.4154,0.618967
201912,132.6994,0.617642
202001,132.7708,0.61731
202002,132.9596,0.616434
202003,133.8185,0.612477
202004,133.9585,0.611837
202005,134.232,0.610591
202006,133.8748,0.61222
202007,134.4942,0.6094
202008,134.3459,0.610073
202009,134.5291,0.609242
202010,134.5517,0.60914
202011,135.252,0.605986
202012,135.3179,0.605691
202101,136.3232,0.601224
202102,136.1524,0.601978
202103,137.2954,0.596967
202104,137.1516,0.597592
202105,137.5172,0.596004
202106,138.2319,0.592922
202107,139.6246,0.587008
202108,140.9998,0.581283
202109,141.5644,0.578965
202110,142.3907,0.575605
202111,142.9007,0.573551
202112,144.0194,0.569096
202201,144.073,0.568883
202202,144.5218,0.567117
202203,146.6645,0.558832
202204,148.0753,0.553507
202205,148.6439,0.55139
202206,150.4137,0.544902
202207,151.829,0.539823
202208,152.841,0.536249
202209,153.6396,0.533461
202210,154.1738,0.531613
202211,154.9718,0.528875
202212,156.2022,0.524709
202301,156.5559,0.523524
202302,157.017,0.521987
202303,158.9852,0.515525
202304,159.8696,0.512673
202305,160.3777,0.511048
202306,160.1327,0.51183
202307,160.7589,0.509837
202308,161.3636,0.507926
202309,161.3901,0.507843
202310,160.8697,0.509486
202311,160.6074,0.510318
202312,161.2591,0.508255
202401,161.29,0.508158
202402,162.1893,0.50534
202403,163.8264,0.500291
202404,163.7417,0.500549
202405,163.5932,0.501004
202406,163.7924,0.500394
202407,164.1793,0.499215
202408,164.6459,0.4978
202409,164.2548,0.498986
202410,164.1018,0.499451
202411,164.2563,0.498981
202412,164.4299,0.498454
202501,164.2765,0.49892
202502,164.5853,0.497984
202503,165.9187,0.493981
202504,166.4465,0.492415
202505,166.3525,0.492694
202506,166.5665,0.49206
202507,166.952,0.490924
202508,166.4674,0.492353
202509,166.486,0.492298
202510,166.3201,0.492789
202511,166.5044,0.492244
202512,166.9108,0.491045
202601,167.0707,0.490575
202602,168.2295,0.487196
202603,172.2312,0.475877
202604,173.1279,0.473412
202605,172.8486,0.474177
