periodo,origen,destino,personas,n
2016-2020,Electricidad/Agua,Construccion,653,1
2016-2020,Electricidad/Agua,Otros Servicios,584,1
2016-2020,Salud,Adm. Publica,552,3
2016-2020,Transporte,Mineria,514,1
2016-2020,Construccion,Otros Servicios,385,3
2016-2020,Transporte,Educacion,361,3
2016-2020,Manufactura,Electricidad/Agua,343,1
2016-2020,Educacion,Construccion,342,2
2016-2020,Mineria,Electricidad/Agua,332,1
2016-2020,Adm. Publica,Comercio,330,3
2016-2020,Manufactura,Mineria,316,1
2016-2020,Transporte,Electricidad/Agua,296,1
2016-2020,Transporte,Adm. Publica,287,2
2016-2020,Educacion,Agropecuario/Pesca,285,5
2016-2020,Transporte,Manufactura,253,1
2016-2020,Electricidad/Agua,Agropecuario/Pesca,214,1
2016-2020,Educacion,Manufactura,207,1
2016-2020,Salud,Construccion,182,1
2016-2020,Agropecuario/Pesca,Electricidad/Agua,173,1
2016-2020,Transporte,Restaurantes/Hoteles,159,1
2016-2020,Electricidad/Agua,Restaurantes/Hoteles,137,1
2016-2020,Adm. Publica,Manufactura,121,1
2016-2020,Construccion,Restaurantes/Hoteles,94,1
2016-2020,Adm. Publica,Mineria,84,1
2016-2020,Construccion,Educacion,69,1
2016-2020,Manufactura,Adm. Publica,57,1
2016-2020,Restaurantes/Hoteles,Mineria,54,1
2016-2020,Mineria,Manufactura,44,1
2016-2020,Manufactura,Educacion,36,1
2016-2020,Restaurantes/Hoteles,Salud,5,1
2017-2021,Agropecuario/Pesca,Agropecuario/Pesca,179689,1142
2017-2021,Comercio,Comercio,83698,318
2017-2021,Otros Servicios,Otros Servicios,41423,108
2017-2021,Educacion,Educacion,35203,124
2017-2021,Transporte,Transporte,30135,97
2017-2021,Construccion,Construccion,30026,89
2017-2021,Manufactura,Manufactura,29538,86
2017-2021,Restaurantes/Hoteles,Restaurantes/Hoteles,22026,72
2017-2021,Adm. Publica,Adm. Publica,17383,67
2017-2021,Comercio,Agropecuario/Pesca,15152,76
2017-2021,Restaurantes/Hoteles,Comercio,14566,42
2017-2021,Comercio,Manufactura,12570,29
2017-2021,Manufactura,Comercio,10594,28
2017-2021,Agropecuario/Pesca,Comercio,10236,45
2017-2021,Otros Servicios,Comercio,10068,30
2017-2021,Salud,Salud,9142,33
2017-2021,Comercio,Otros Servicios,8697,21
2017-2021,Manufactura,Agropecuario/Pesca,6735,31
2017-2021,Comercio,Restaurantes/Hoteles,6448,20
2017-2021,Agropecuario/Pesca,Adm. Publica,6253,28
2017-2021,Transporte,Comercio,5996,20
2017-2021,Construccion,Agropecuario/Pesca,5485,24
2017-2021,Agropecuario/Pesca,Construccion,5431,25
2017-2021,Agropecuario/Pesca,Manufactura,5193,25
2017-2021,Restaurantes/Hoteles,Otros Servicios,4423,16
2017-2021,Otros Servicios,Adm. Publica,4322,11
2017-2021,Comercio,Construccion,4051,12
2017-2021,Transporte,Agropecuario/Pesca,3920,20
2017-2021,Otros Servicios,Manufactura,3737,9
2017-2021,Otros Servicios,Restaurantes/Hoteles,3615,14
2017-2021,Manufactura,Construccion,3547,9
2017-2021,Otros Servicios,Agropecuario/Pesca,3530,17
2017-2021,Mineria,Mineria,3423,15
2017-2021,Restaurantes/Hoteles,Agropecuario/Pesca,3373,22
2017-2021,Manufactura,Otros Servicios,3269,11
2017-2021,Otros Servicios,Construccion,3130,13
2017-2021,Construccion,Transporte,3049,7
2017-2021,Adm. Publica,Salud,3008,9
2017-2021,Transporte,Construccion,2866,7
2017-2021,Comercio,Transporte,2538,9
2017-2021,Otros Servicios,Salud,2516,4
2017-2021,Manufactura,Transporte,2404,8
2017-2021,Agropecuario/Pesca,Restaurantes/Hoteles,2337,10
2017-2021,Comercio,Adm. Publica,2326,9
2017-2021,Restaurantes/Hoteles,Salud,2260,5
2017-2021,Construccion,Manufactura,2211,7
2017-2021,Otros Servicios,Educacion,2169,5
2017-2021,Transporte,Adm. Publica,2098,2
2017-2021,Educacion,Agropecuario/Pesca,2084,7
2017-2021,Restaurantes/Hoteles,Transporte,1938,4
2017-2021,Otros Servicios,Transporte,1888,5
2017-2021,Adm. Publica,Agropecuario/Pesca,1829,9
2017-2021,Agropecuario/Pesca,Otros Servicios,1797,12
2017-2021,Adm. Publica,Construccion,1791,7
2017-2021,Manufactura,Restaurantes/Hoteles,1717,7
2017-2021,Construccion,Comercio,1696,5
2017-2021,Electricidad/Agua,Otros Servicios,1631,2
2017-2021,Comercio,Salud,1563,5
2017-2021,Restaurantes/Hoteles,Manufactura,1513,8
2017-2021,Agropecuario/Pesca,Mineria,1472,5
2017-2021,Adm. Publica,Otros Servicios,1470,6
2017-2021,Agropecuario/Pesca,Transporte,1428,8
2017-2021,Educacion,Otros Servicios,1402,3
2017-2021,Construccion,Adm. Publica,1391,3
2017-2021,Mineria,Agropecuario/Pesca,1319,5
2017-2021,Electricidad/Agua,Electricidad/Agua,1267,8
2017-2021,Comercio,Mineria,1266,2
2017-2021,Manufactura,Adm. Publica,1182,4
2017-2021,Educacion,Construccion,1167,2
2017-2021,Transporte,Otros Servicios,1158,6
2017-2021,Comercio,Educacion,1067,5
2017-2021,Electricidad/Agua,Manufactura,1046,1
2017-2021,Educacion,Comercio,998,6
2017-2021,Manufactura,Educacion,911,2
2017-2021,Construccion,Mineria,903,2
2017-2021,Educacion,Adm. Publica,850,5
2017-2021,Salud,Otros Servicios,777,3
2017-2021,Transporte,Manufactura,776,3
2017-2021,Mineria,Manufactura,753,3
2017-2021,Construccion,Otros Servicios,696,5
2017-2021,Adm. Publica,Manufactura,681,2
2017-2021,Mineria,Restaurantes/Hoteles,653,1
2017-2021,Agropecuario/Pesca,Educacion,623,5
2017-2021,Mineria,Comercio,610,2
2017-2021,Transporte,Salud,599,2
2017-2021,Transporte,Mineria,564,1
2017-2021,Electricidad/Agua,Agropecuario/Pesca,554,2
2017-2021,Transporte,Restaurantes/Hoteles,478,3
2017-2021,Educacion,Salud,470,2
2017-2021,Educacion,Manufactura,443,2
2017-2021,Educacion,Restaurantes/Hoteles,427,2
2017-2021,Adm. Publica,Transporte,344,2
2017-2021,Agropecuario/Pesca,Electricidad/Agua,343,2
2017-2021,Construccion,Electricidad/Agua,332,1
2017-2021,Salud,Comercio,331,2
2017-2021,Mineria,Transporte,313,2
2017-2021,Electricidad/Agua,Construccion,307,1
2017-2021,Restaurantes/Hoteles,Mineria,296,1
2017-2021,Adm. Publica,Comercio,293,1
2017-2021,Restaurantes/Hoteles,Educacion,285,2
2017-2021,Electricidad/Agua,Transporte,270,1
2017-2021,Restaurantes/Hoteles,Adm. Publica,252,3
2017-2021,Otros Servicios,Electricidad/Agua,248,1
2017-2021,Adm. Publica,Restaurantes/Hoteles,246,1
2017-2021,Adm. Publica,Educacion,236,2
2017-2021,Transporte,Educacion,213,1
2017-2021,Salud,Agropecuario/Pesca,210,2
2017-2021,Salud,Adm. Publica,203,2
2017-2021,Construccion,Restaurantes/Hoteles,198,1
2017-2021,Transporte,Electricidad/Agua,166,1
2017-2021,Agropecuario/Pesca,Salud,133,1
2017-2021,Mineria,Construccion,129,2
2017-2021,Construccion,Educacion,99,2
2017-2021,Educacion,Transporte,24,1
2018-2022,Agropecuario/Pesca,Agropecuario/Pesca,194978,1221
2018-2022,Comercio,Comercio,96148,333
2018-2022,Otros Servicios,Otros Servicios,32218,106
2018-2022,Manufactura,Manufactura,29594,87
2018-2022,Transporte,Transporte,28573,99
2018-2022,Educacion,Educacion,25981,107
2018-2022,Construccion,Construccion,24601,68
2018-2022,Restaurantes/Hoteles,Restaurantes/Hoteles,18984,76
2018-2022,Adm. Publica,Adm. Publica,15551,59
2018-2022,Salud,Salud,11107,38
2018-2022,Otros Servicios,Comercio,10384,26
2018-2022,Comercio,Otros Servicios,9849,29
2018-2022,Restaurantes/Hoteles,Comercio,9784,36
2018-2022,Agropecuario/Pesca,Comercio,8782,53
2018-2022,Comercio,Restaurantes/Hoteles,8143,26
2018-2022,Agropecuario/Pesca,Construccion,8065,29
2018-2022,Comercio,Agropecuario/Pesca,7776,42
2018-2022,Comercio,Transporte,7369,20
2018-2022,Comercio,Manufactura,7068,16
2018-2022,Manufactura,Comercio,6733,19
2018-2022,Transporte,Comercio,6233,16
2018-2022,Manufactura,Agropecuario/Pesca,5695,28
2018-2022,Construccion,Agropecuario/Pesca,4956,21
2018-2022,Agropecuario/Pesca,Manufactura,4931,30
2018-2022,Otros Servicios,Manufactura,4930,10
2018-2022,Otros Servicios,Agropecuario/Pesca,4730,18
2018-2022,Otros Servicios,Restaurantes/Hoteles,4710,15
2018-2022,Agropecuario/Pesca,Transporte,3981,18
2018-2022,Otros Servicios,Adm. Publica,3844,11
2018-2022,Manufactura,Otros Servicios,3767,12
2018-2022,Restaurantes/Hoteles,Manufactura,3694,12
2018-2022,Agropecuario/Pesca,Restaurantes/Hoteles,3672,22
2018-2022,Manufactura,Restaurantes/Hoteles,3428,6
2018-2022,Adm. Publica,Agropecuario/Pesca,3390,17
2018-2022,Manufactura,Transporte,3345,6
2018-2022,Comercio,Adm. Publica,3343,11
2018-2022,Agropecuario/Pesca,Adm. Publica,3197,25
2018-2022,Manufactura,Mineria,3131,4
2018-2022,Comercio,Construccion,3127,9
2018-2022,Restaurantes/Hoteles,Otros Servicios,3041,10
2018-2022,Adm. Publica,Otros Servicios,2885,9
2018-2022,Agropecuario/Pesca,Otros Servicios,2877,13
2018-2022,Construccion,Transporte,2661,7
2018-2022,Transporte,Agropecuario/Pesca,2564,12
2018-2022,Otros Servicios,Transporte,2404,6
2018-2022,Restaurantes/Hoteles,Agropecuario/Pesca,2397,17
2018-2022,Manufactura,Construccion,2257,5
2018-2022,Construccion,Otros Servicios,2249,6
2018-2022,Transporte,Adm. Publica,2143,6
2018-2022,Electricidad/Agua,Comercio,2118,2
2018-2022,Otros Servicios,Construccion,2112,5
2018-2022,Transporte,Construccion,2096,6
2018-2022,Adm. Publica,Manufactura,1976,3
2018-2022,Transporte,Otros Servicios,1822,7
2018-2022,Mineria,Agropecuario/Pesca,1808,7
2018-2022,Educacion,Comercio,1753,4
2018-2022,Educacion,Otros Servicios,1704,4
2018-2022,Construccion,Manufactura,1619,6
2018-2022,Otros Servicios,Educacion,1619,6
2018-2022,Restaurantes/Hoteles,Transporte,1612,2
2018-2022,Otros Servicios,Salud,1603,7
2018-2022,Agropecuario/Pesca,Mineria,1502,7
2018-2022,Manufactura,Adm. Publica,1474,6
2018-2022,Transporte,Mineria,1451,2
2018-2022,Educacion,Restaurantes/Hoteles,1432,3
2018-2022,Salud,Adm. Publica,1378,5
2018-2022,Transporte,Manufactura,1373,4
2018-2022,Mineria,Mineria,1344,16
2018-2022,Educacion,Agropecuario/Pesca,1246,7
2018-2022,Electricidad/Agua,Otros Servicios,1235,1
2018-2022,Electricidad/Agua,Electricidad/Agua,1177,4
2018-2022,Construccion,Adm. Publica,1176,5
2018-2022,Educacion,Manufactura,1167,4
2018-2022,Otros Servicios,Electricidad/Agua,1166,1
2018-2022,Restaurantes/Hoteles,Construccion,986,3
2018-2022,Adm. Publica,Restaurantes/Hoteles,973,5
2018-2022,Educacion,Transporte,958,1
2018-2022,Comercio,Educacion,944,5
2018-2022,Comercio,Mineria,934,4
2018-2022,Adm. Publica,Comercio,917,8
2018-2022,Construccion,Comercio,797,3
2018-2022,Adm. Publica,Transporte,780,5
2018-2022,Construccion,Restaurantes/Hoteles,758,3
2018-2022,Educacion,Salud,746,3
2018-2022,Salud,Comercio,721,4
2018-2022,Comercio,Electricidad/Agua,622,3
2018-2022,Adm. Publica,Construccion,576,2
2018-2022,Mineria,Transporte,553,4
2018-2022,Transporte,Electricidad/Agua,454,2
2018-2022,Agropecuario/Pesca,Salud,453,2
2018-2022,Adm. Publica,Salud,432,2
2018-2022,Salud,Agropecuario/Pesca,369,2
2018-2022,Electricidad/Agua,Agropecuario/Pesca,360,2
2018-2022,Adm. Publica,Educacion,355,2
2018-2022,Mineria,Restaurantes/Hoteles,311,1
2018-2022,Agropecuario/Pesca,Educacion,286,2
2018-2022,Otros Servicios,Mineria,283,1
2018-2022,Transporte,Salud,283,1
2018-2022,Mineria,Construccion,269,1
2018-2022,Manufactura,Salud,263,1
2018-2022,Comercio,Salud,247,3
2018-2022,Mineria,Manufactura,219,1
2018-2022,Salud,Manufactura,175,2
2018-2022,Educacion,Adm. Publica,167,2
2018-2022,Construccion,Mineria,165,1
2018-2022,Salud,Otros Servicios,147,1
2018-2022,Transporte,Restaurantes/Hoteles,106,1
2018-2022,Mineria,Otros Servicios,74,1
2018-2022,Educacion,Construccion,62,1
2018-2022,Construccion,Electricidad/Agua,55,1
2018-2022,Adm. Publica,Mineria,52,1
2018-2022,Restaurantes/Hoteles,Educacion,39,1
2018-2022,Mineria,Adm. Publica,18,1
2019-2023,Agropecuario/Pesca,Agropecuario/Pesca,205349,1240
2019-2023,Comercio,Comercio,98098,321
2019-2023,Otros Servicios,Otros Servicios,50351,134
2019-2023,Transporte,Transporte,40592,107
2019-2023,Manufactura,Manufactura,30130,95
2019-2023,Restaurantes/Hoteles,Restaurantes/Hoteles,27628,95
2019-2023,Educacion,Educacion,23166,101
2019-2023,Construccion,Construccion,22051,70
2019-2023,Salud,Salud,19905,62
2019-2023,Adm. Publica,Adm. Publica,18306,69
2019-2023,Manufactura,Comercio,13901,26
2019-2023,Otros Servicios,Comercio,10812,33
2019-2023,Agropecuario/Pesca,Comercio,9756,53
2019-2023,Comercio,Agropecuario/Pesca,9044,42
2019-2023,Comercio,Manufactura,8780,23
2019-2023,Agropecuario/Pesca,Construccion,8577,30
2019-2023,Agropecuario/Pesca,Restaurantes/Hoteles,7962,37
2019-2023,Restaurantes/Hoteles,Comercio,7064,25
2019-2023,Comercio,Otros Servicios,7009,29
2019-2023,Construccion,Agropecuario/Pesca,6943,22
2019-2023,Comercio,Restaurantes/Hoteles,6263,29
2019-2023,Otros Servicios,Transporte,5801,12
2019-2023,Transporte,Construccion,5575,10
2019-2023,Restaurantes/Hoteles,Otros Servicios,5409,16
2019-2023,Comercio,Construccion,5349,13
2019-2023,Agropecuario/Pesca,Otros Servicios,4721,21
2019-2023,Otros Servicios,Agropecuario/Pesca,4462,21
2019-2023,Otros Servicios,Salud,4340,9
2019-2023,Otros Servicios,Manufactura,4247,13
2019-2023,Agropecuario/Pesca,Transporte,4055,20
2019-2023,Transporte,Agropecuario/Pesca,4039,19
2019-2023,Manufactura,Agropecuario/Pesca,4014,17
2019-2023,Construccion,Transporte,3723,11
2019-2023,Educacion,Comercio,3648,9
2019-2023,Mineria,Mineria,3517,15
2019-2023,Restaurantes/Hoteles,Manufactura,3215,13
2019-2023,Comercio,Transporte,3094,7
2019-2023,Agropecuario/Pesca,Manufactura,3030,14
2019-2023,Comercio,Adm. Publica,3021,6
2019-2023,Agropecuario/Pesca,Adm. Publica,2997,16
2019-2023,Otros Servicios,Construccion,2922,7
2019-2023,Construccion,Otros Servicios,2889,5
2019-2023,Otros Servicios,Adm. Publica,2807,9
2019-2023,Otros Servicios,Restaurantes/Hoteles,2779,13
2019-2023,Transporte,Comercio,2669,13
2019-2023,Restaurantes/Hoteles,Agropecuario/Pesca,2608,19
2019-2023,Construccion,Comercio,2319,4
2019-2023,Transporte,Restaurantes/Hoteles,2173,6
2019-2023,Adm. Publica,Agropecuario/Pesca,2149,11
2019-2023,Manufactura,Otros Servicios,2114,5
2019-2023,Construccion,Manufactura,1955,4
2019-2023,Comercio,Salud,1717,6
2019-2023,Salud,Otros Servicios,1654,5
2019-2023,Comercio,Educacion,1625,4
2019-2023,Educacion,Agropecuario/Pesca,1536,11
2019-2023,Construccion,Educacion,1490,2
2019-2023,Adm. Publica,Otros Servicios,1483,8
2019-2023,Electricidad/Agua,Otros Servicios,1403,3
2019-2023,Salud,Adm. Publica,1359,7
2019-2023,Manufactura,Construccion,1325,4
2019-2023,Salud,Comercio,1290,1
2019-2023,Manufactura,Mineria,1210,2
2019-2023,Adm. Publica,Educacion,1157,5
2019-2023,Adm. Publica,Manufactura,1115,2
2019-2023,Comercio,Mineria,1103,3
2019-2023,Adm. Publica,Restaurantes/Hoteles,1016,5
2019-2023,Otros Servicios,Educacion,986,3
2019-2023,Agropecuario/Pesca,Mineria,975,6
2019-2023,Mineria,Agropecuario/Pesca,973,7
2019-2023,Mineria,Manufactura,715,2
2019-2023,Restaurantes/Hoteles,Educacion,680,1
2019-2023,Electricidad/Agua,Comercio,655,2
2019-2023,Electricidad/Agua,Electricidad/Agua,634,4
2019-2023,Manufactura,Restaurantes/Hoteles,632,4
2019-2023,Educacion,Otros Servicios,631,4
2019-2023,Construccion,Electricidad/Agua,627,3
2019-2023,Salud,Restaurantes/Hoteles,620,1
2019-2023,Adm. Publica,Salud,616,4
2019-2023,Restaurantes/Hoteles,Construccion,604,2
2019-2023,Comercio,Electricidad/Agua,574,2
2019-2023,Adm. Publica,Comercio,567,3
2019-2023,Transporte,Adm. Publica,557,2
2019-2023,Mineria,Transporte,549,3
2019-2023,Transporte,Manufactura,539,2
2019-2023,Agropecuario/Pesca,Salud,507,3
2019-2023,Transporte,Mineria,480,3
2019-2023,Otros Servicios,Electricidad/Agua,446,2
2019-2023,Manufactura,Transporte,428,1
2019-2023,Adm. Publica,Transporte,426,1
2019-2023,Salud,Transporte,409,1
2019-2023,Adm. Publica,Electricidad/Agua,386,3
2019-2023,Transporte,Otros Servicios,349,4
2019-2023,Agropecuario/Pesca,Electricidad/Agua,334,2
2019-2023,Mineria,Construccion,333,1
2019-2023,Restaurantes/Hoteles,Salud,332,1
2019-2023,Adm. Publica,Construccion,317,1
2019-2023,Agropecuario/Pesca,Educacion,290,2
2019-2023,Mineria,Otros Servicios,274,2
2019-2023,Electricidad/Agua,Construccion,270,1
2019-2023,Restaurantes/Hoteles,Transporte,264,1
2019-2023,Construccion,Adm. Publica,253,3
2019-2023,Manufactura,Adm. Publica,237,1
2019-2023,Manufactura,Educacion,228,1
2019-2023,Transporte,Educacion,192,1
2019-2023,Transporte,Electricidad/Agua,192,1
2019-2023,Educacion,Restaurantes/Hoteles,180,1
2019-2023,Manufactura,Salud,162,2
2019-2023,Construccion,Restaurantes/Hoteles,149,1
2019-2023,Electricidad/Agua,Mineria,149,1
2019-2023,Otros Servicios,Mineria,69,1
2019-2023,Mineria,Restaurantes/Hoteles,15,1
2019-2023,Educacion,Manufactura,5,1
2019-2023,Restaurantes/Hoteles,Adm. Publica,5,1
